Name,CENTROID_X,CENTROID_Y
C1,79.8883046,6.952226318
C2,79.88692216,6.951834256
C3,79.88531291,6.951878167
C4,79.88267363,6.951680635
C5,79.88588076,6.949789852
C6,79.88621018,6.945846613
C7,79.89185938,6.950958134
C8,79.88903597,6.946788249
C9,79.89257186,6.945187414
C10,79.89233698,6.947768424
C11,79.89042411,6.947699128
C12,79.89517847,6.946458764
C13,79.88739083,6.941368032
C14,79.89102596,6.936621295
C15,79.89054747,6.943041427
C16,79.89402506,6.939891713
C17,79.89642734,6.934558869
C18,79.8981021,6.930062197
C19,79.90026257,6.930160836
C20,79.89390386,6.942343344
C21,79.89684583,6.9437982
C22,79.89927672,6.943086657
C23,79.90374979,6.945303506
C24,79.90019633,6.939286466
C25,79.90390003,6.943078206
C26,79.90910444,6.946780093
C27,79.90820616,6.944486793
C28,79.89877292,6.93542535
C29,79.90116849,6.935515732
C30,79.90032352,6.932619747
C31,79.90298245,6.93453625
C32,79.90496236,6.940709345
C33,79.90491388,6.935142955
C34,79.90673153,6.938516097
C35,79.90593962,6.931431492
C36,79.90744474,6.934933219
C37,79.90793254,6.936893971
C38,79.90914615,6.934274794
C39,79.9104609,6.934095995
C40,79.91061484,6.930292552
C41,79.91504547,6.925045413
C42,79.92148703,6.92537517
C43,79.90864759,6.942312794
C44,79.91174246,6.943945493
C45,79.911932,6.940568797
C46,79.91254793,6.937646907
C47,79.91410873,6.93398709
C48,79.91833429,6.935318638
C49,79.918833,6.940832967
C50,79.91867526,6.931770589
C51,79.92454431,6.935470374
C52,79.92099899,6.944825378
C53,79.92209675,6.947806612
C54,79.92673348,6.94599133
C55,79.92447643,6.940435171
C56,79.93039826,6.941594063
C57,79.93124747,6.937780184
C58,79.92389162,6.93025557
C59,79.92800125,6.932076117
C60,79.92950684,6.933728871
C61,79.93501056,6.933957749
C62,79.9390557,6.929134083
C63,79.93138264,6.927657608
C_02B,79.93689451,6.901179254
Madiwela,79.95827347,6.914260811
C_01A,79.95581241,6.857230208
C_23,79.87358914,6.861344071
C_22,79.87192027,6.873908963
C_21,79.87455305,6.888359685
C_24,79.86365267,6.882582448
C_09D2,79.89284505,6.878400218
C_26,79.87204547,6.910056296
C_25,79.87116364,6.900336007
C_30,79.87599163,6.946016039
C_29,79.86612181,6.93936362
C_27A,79.87433683,6.924591834
C_28,79.88275541,6.934154663
C_06,79.90539538,6.924483607
C_07,79.90428743,6.915668206
C_04,79.92379794,6.915464098
C_03,79.92964801,6.878930949
C_05,79.91308352,6.88872579
C_20,79.87799272,6.892416819
C_17,79.88937503,6.9015468
C_19,79.88427622,6.89508461
C_10,79.89498001,6.905001817
C_18,79.87893118,6.901903192
C_16,79.8822523,6.905741405
C_14,79.89348555,6.910750239
C_13,79.88836821,6.91492198
C_15,79.88550015,6.908893844
C_08,79.90522926,6.90557276
C_11,79.89313864,6.925995173
C_31,79.88194424,6.947497929
C_32,79.87714606,6.954516128
C_33,79.86786059,6.955320429
C_12,79.89143826,6.919062392
C_01C,79.92155092,6.860206189
C_01B,79.93711641,6.851765306
C_01D,79.93276578,6.866400165
C_02A,79.94917376,6.878515419
C_09A,79.90009333,6.896683093
C_09B,79.89198037,6.89254153
C_09C,79.89745296,6.885689643
C_09D,79.88475016,6.880058404
C_19A,79.88094623,6.895398615
C_25A,79.86439454,6.897661614
C_25B,79.86492752,6.891366872
C_27B,79.88106039,6.91754392
C_28A,79.88143444,6.929580852
C_29C,79.87073458,6.935011913
C_02D,79.96069655,6.890925311
C_02C,79.96161175,6.877566575
C_02E,79.94372163,6.889771777
